column,goal,Rank
['0.000778', '0.204106', 93]
['0.013300', '0.206551', 87]
['0.018731', '0.202079', 98]
['0.048607', '0.209993', 82]
['0.059005', '0.202959', 95]
['0.069195', '0.206953', 86]
['0.080682', '0.206343', 88]
['0.081482', '0.208190', 85]
['0.089465', '0.202851', 96]
['0.091755', '0.204013', 94]
['0.092712', '0.200873', 99]
['0.115003', '0.204201', 92]
['0.141679', '0.200590', 100]
['0.142250', '0.209265', 84]
['0.145540', '0.204316', 91]
['0.149220', '0.204717', 90]
['0.166217', '0.205788', 89]
['0.183597', '0.202606', 97]
['0.193927', '0.209333', 83]
['0.212902', '0.607935', 60]
['0.240026', '0.604821', 70]
['0.249004', '0.609366', 53]
['0.253542', '0.602082', 76]
['0.267972', '0.607158', 64]
['0.279313', '0.607725', 62]
['0.279640', '0.600490', 81]
['0.286445', '0.608877', 56]
['0.309793', '0.608447', 58]
['0.376686', '0.604927', 68]
['0.397150', '0.600811', 80]
['0.402488', '0.606612', 65]
['0.402877', '0.605499', 67]
['0.415190', '0.601769', 78]
['0.423807', '0.603336', 74]
['0.423935', '0.604074', 72]
['0.434414', '0.608436', 59]
['0.443822', '0.605546', 66]
['0.444343', '0.609122', 54]
['0.444913', '0.601819', 77]
['0.499503', '0.607835', 61]
['0.519325', '0.603375', 73]
['0.546203', '0.600850', 79]
['0.556102', '0.608990', 55]
['0.561187', '0.604567', 71]
['0.572457', '0.602197', 75]
['0.572463', '0.604856', 69]
['0.573346', '0.608781', 57]
['0.585835', '0.609998', 52]
['0.590069', '0.607504', 63]
['0.600445', '0.906817', 15]
['0.622509', '0.908915', 3]
['0.625664', '0.904576', 23]
['0.631611', '0.904498', 24]
['0.664942', '0.900067', 51]
['0.676277', '0.901866', 43]
['0.680745', '0.909598', 2]
['0.686848', '0.905798', 20]
['0.696752', '0.905176', 21]
['0.697027', '0.901958', 40]
['0.698956', '0.902636', 34]
['0.715516', '0.900326', 47]
['0.721349', '0.905851', 19]
['0.730151', '0.906445', 17]
['0.733342', '0.903259', 29]
['0.738153', '0.906729', 16]
['0.738897', '0.904268', 25]
['0.743832', '0.908767', 4]
['0.750225', '0.907498', 12]
['0.751462', '0.901002', 45]
['0.757713', '0.902477', 37]
['0.765079', '0.907977', 9]
['0.765538', '0.901926', 41]
['0.767028', '0.907006', 13]
['0.771274', '0.908582', 7]
['0.774170', '0.902912', 32]
['0.779581', '0.902581', 35]
['0.796259', '0.908705', 5]
['0.798427', '0.909626', 1]
['0.805013', '0.902463', 38]
['0.807013', '0.903142', 31]
['0.809190', '0.908632', 6]
['0.837424', '0.903192', 30]
['0.842977', '0.900137', 48]
['0.847735', '0.906351', 18]
['0.873461', '0.904128', 26]
['0.887674', '0.900956', 46]
['0.888802', '0.907896', 10]
['0.901901', '0.906919', 14]
['0.904729', '0.900135', 49]
['0.918216', '0.902188', 39]
['0.918813', '0.908461', 8]
['0.930935', '0.901687', 44]
['0.935213', '0.902712', 33]
['0.935842', '0.901898', 42]
['0.950101', '0.904115', 27]
['0.961101', '0.903911', 28]
['0.970956', '0.907533', 11]
['0.980172', '0.900069', 50]
['0.982712', '0.904680', 22]
['0.984887', '0.902514', 36]
