cylinders,displacement,horsepower,weight,acceleration,model,origin,mpg,Rank
['4', '97', '52', '2130', '24.6', '82', '2', '40', 392]
['4', '90', '48', '2335', '23.7', '80', '2', '40', 391]
['4', '86', '65', '2110', '17.9', '80', '3', '50', 390]
['4', '90', '48', '1985', '21.5', '78', '2', '40', 389]
['4', '90', '48', '2085', '21.7', '80', '2', '40', 388]
['4', '72', '69', '1613', '18', '71', '3', '40', 387]
['4', '85', '65', '1975', '19.4', '81', '3', '40', 386]
['4', '79', '58', '1825', '18.6', '77', '2', '40', 385]
['4', '89', '60', '1968', '18.8', '80', '3', '40', 384]
['4', '85', '65', '2110', '19.2', '80', '3', '40', 383]
['4', '85', '70', '2070', '18.6', '78', '3', '40', 382]
['4', '91', '68', '2025', '18.2', '82', '3', '40', 381]
['4', '79', '58', '1755', '16.9', '81', '3', '40', 380]
['4', '85', '52', '2035', '22.2', '76', '1', '30', 379]
['4', '71', '65', '1836', '21', '74', '3', '30', 378]
['4', '91', '60', '1800', '16.4', '78', '3', '40', 377]
['4', '81', '60', '1760', '16.1', '81', '3', '40', 376]
['4', '97', '46', '1835', '20.5', '70', '2', '30', 375]
['4', '89', '62', '2050', '17.3', '81', '3', '40', 374]
['4', '97', '46', '1950', '21', '73', '2', '30', 373]
['4', '86', '64', '1875', '16.4', '81', '1', '40', 372]
['4', '98', '70', '2125', '17.3', '82', '1', '40', 371]
['4', '91', '70', '1955', '20.5', '71', '1', '30', 370]
['4', '86', '65', '2019', '16.4', '80', '3', '40', 369]
['4', '91', '67', '1995', '16.2', '82', '3', '40', 368]
['4', '68', '49', '1867', '19.5', '73', '2', '30', 367]
['4', '71', '65', '1773', '19', '71', '3', '30', 366]
['4', '97', '60', '1834', '19', '71', '2', '30', 365]
['4', '105', '74', '1980', '15.3', '82', '2', '40', 364]
['5', '121', '67', '2950', '19.9', '80', '2', '40', 363]
['4', '98', '66', '1800', '14.4', '78', '1', '40', 362]
['4', '78', '52', '1985', '19.4', '78', '3', '30', 361]
