name,version,name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
velocity,1.4,org.apache.velocity.context.Context,5,1,0,34,5,10,34,0,5,2,5,0,0,0,0.666666667,0,0,0,1,1,1
velocity,1.4,org.apache.velocity.runtime.exception.NodeException,1,3,0,1,9,0,0,1,1,2,27,0,0,1,1,0,0,26,0,0,0
velocity,1.4,org.apache.velocity.test.VelocityAppTestCase,3,4,0,8,17,1,0,8,3,0,75,1,0,0.964285714,0.666666667,3,3,23,1,0.6667,0
velocity,1.4,org.apache.velocity.runtime.parser.Parser,148,1,0,60,236,0,43,55,48,0.733908948,9104,0.769230769,9,0,0.147804054,0,0,60.33783784,34,4.5878,0
velocity,1.4,org.apache.velocity.util.introspection.UberspectImpl,8,1,0,17,44,18,3,17,7,0.761904762,360,0.666666667,2,0,0.4375,0,0,43.625,1,0.875,1
velocity,1.4,org.apache.velocity.runtime.parser.node.ASTIncludeStatement,3,2,0,3,6,3,0,3,3,2,17,0,0,0.964285714,0.533333333,0,0,4.666666667,1,0.3333,1
velocity,1.4,org.apache.velocity.util.introspection.IntrospectorBase,4,1,1,2,19,0,1,1,2,0,101,1,0,0,0.5,0,0,23.75,1,0.75,1
velocity,1.4,org.apache.velocity.runtime.parser.node.ASTIfStatement,5,2,0,10,12,10,4,8,5,2,62,0,0,0.9,0.4,1,2,11.4,1,0.6,1
velocity,1.4,org.apache.velocity.app.event.EventCartridge,7,1,0,16,12,0,11,6,7,0.5,140,1,3,0,0.326530612,0,0,18.57142857,5,2.4286,1
velocity,1.4,org.apache.velocity.exception.MethodInvocationException,5,4,0,44,6,0,43,1,5,0.666666667,40,1,0,0.764705882,0.533333333,0,0,6.4,1,0.8,1
velocity,1.4,org.apache.velocity.test.EventHandlingTestCase,10,3,0,16,31,29,0,16,9,0.722222222,284,1,0,0.859649123,0.26984127,3,3,27,5,1.5,0
velocity,1.4,org.apache.velocity.util.introspection.ClassMap,12,1,0,6,39,46,1,5,3,0.8,510,1,2,0,0.227272727,0,0,41.08333333,11,3.5,1
velocity,1.4,org.apache.velocity.util.StringUtils,22,1,0,13,70,229,13,0,21,0.976190476,681,1,0,0,0.172619048,0,0,29.86363636,8,2.6364,1
velocity,1.4,org.apache.velocity.runtime.resource.loader.ClasspathResourceLoader,5,2,0,6,13,10,0,6,5,2,51,0,0,0.714285714,0.45,0,0,9.2,1,0.8,1
velocity,1.4,org.apache.velocity.runtime.RuntimeConstants,0,1,0,5,0,0,5,0,0,2,51,0,0,0,0,0,0,0,0,0,1
velocity,1.4,org.apache.velocity.anakia.Escape,2,1,0,1,8,1,1,0,2,2,75,0,0,0,0.5,0,0,36.5,9,4.5,1
velocity,1.4,org.apache.velocity.runtime.VelocimacroFactory,17,1,0,11,47,42,2,10,6,0.701388889,688,1,2,0,0.364705882,0,0,38.94117647,12,2.7647,1
velocity,1.4,org.apache.velocity.runtime.parser.node.ASTAddNode,4,2,0,10,20,6,4,8,4,2,131,0,0,0.931034483,0.416666667,1,1,31.75,1,0.5,1
velocity,1.4,org.apache.velocity.runtime.directive.Macro,9,2,0,11,34,34,1,10,6,0.75,239,1,0,0.5,0.333333333,0,0,25.44444444,6,1.4444,1
velocity,1.4,org.apache.velocity.runtime.parser.node.ParserVisitor,35,1,0,47,35,595,47,35,35,2,35,0,0,0,0.081081081,0,0,0,1,1,0
velocity,1.4,org.apache.velocity.runtime.log.AvalonLogSystem,4,1,0,10,24,0,1,9,4,0.166666667,178,1,1,0,0.5,0,0,43,2,1,1
velocity,1.4,org.apache.velocity.runtime.parser.node.ASTFalse,6,2,0,6,9,13,4,4,5,0.8,28,1,0,0.9,0.4,0,0,3.5,1,0.5,1
