@relation velocity_m

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug numeric

@data
5.005,1,0,34,5,10,34,0,5,2,5,0,0,0,0.666667,0,0,0,1,1,1
1.001,3,0,1,9,0,0,1,1,2,27,0,0,1,1,0,0,26,0,0,0
3.003,4,0,8,17,1,0,8,3,0,75,1,0,0.964286,0.666667,3,3,23,1,0.6667,0
148.148,1,0,60,236,0,43,55,48,0.733909,9104,0.769231,9,0,0.147804,0,0,60.337838,34,4.5878,0
8.008,1,0,17,44,18,3,17,7,0.761905,360,0.666667,2,0,0.4375,0,0,43.625,1,0.875,1
3.003,2,0,3,6,3,0,3,3,2,17,0,0,0.964286,0.533333,0,0,4.666667,1,0.3333,1
4.004,1,1,2,19,0,1,1,2,0,101,1,0,0,0.5,0,0,23.75,1,0.75,1
5.005,2,0,10,12,10,4,8,5,2,62,0,0,0.9,0.4,1,2,11.4,1,0.6,1
7.007,1,0,16,12,0,11,6,7,0.5,140,1,3,0,0.326531,0,0,18.571429,5,2.4286,1
5.005,4,0,44,6,0,43,1,5,0.666667,40,1,0,0.764706,0.533333,0,0,6.4,1,0.8,1
10.01,3,0,16,31,29,0,16,9,0.722222,284,1,0,0.859649,0.269841,3,3,27,5,1.5,0
12.012,1,0,6,39,46,1,5,3,0.8,510,1,2,0,0.227273,0,0,41.083333,11,3.5,1
22.022,1,0,13,70,229,13,0,21,0.97619,681,1,0,0,0.172619,0,0,29.863636,8,2.6364,1
5.005,2,0,6,13,10,0,6,5,2,51,0,0,0.714286,0.45,0,0,9.2,1,0.8,1
5,1.001,0,34,5,10,34,0,5,2,5,0,0,0,0.666667,0,0,0,1,1,1
1,3.003,0,1,9,0,0,1,1,2,27,0,0,1,1,0,0,26,0,0,0
3,4.004,0,8,17,1,0,8,3,0,75,1,0,0.964286,0.666667,3,3,23,1,0.6667,0
148,1.001,0,60,236,0,43,55,48,0.733909,9104,0.769231,9,0,0.147804,0,0,60.337838,34,4.5878,0
8,1.001,0,17,44,18,3,17,7,0.761905,360,0.666667,2,0,0.4375,0,0,43.625,1,0.875,1
3,2.002,0,3,6,3,0,3,3,2,17,0,0,0.964286,0.533333,0,0,4.666667,1,0.3333,1
4,1.001,1,2,19,0,1,1,2,0,101,1,0,0,0.5,0,0,23.75,1,0.75,1
5,2.002,0,10,12,10,4,8,5,2,62,0,0,0.9,0.4,1,2,11.4,1,0.6,1
7,1.001,0,16,12,0,11,6,7,0.5,140,1,3,0,0.326531,0,0,18.571429,5,2.4286,1
5,4.004,0,44,6,0,43,1,5,0.666667,40,1,0,0.764706,0.533333,0,0,6.4,1,0.8,1
10,3.003,0,16,31,29,0,16,9,0.722222,284,1,0,0.859649,0.269841,3,3,27,5,1.5,0
12,1.001,0,6,39,46,1,5,3,0.8,510,1,2,0,0.227273,0,0,41.083333,11,3.5,1
22,1.001,0,13,70,229,13,0,21,0.97619,681,1,0,0,0.172619,0,0,29.863636,8,2.6364,1
5,2.002,0,6,13,10,0,6,5,2,51,0,0,0.714286,0.45,0,0,9.2,1,0.8,1
0,1.001,0,5,0,0,5,0,0,2,51,0,0,0,0,0,0,0,0,0,1
2,1.001,0,1,8,1,1,0,2,2,75,0,0,0,0.5,0,0,36.5,9,4.5,1
17,1.001,0,11,47,42,2,10,6,0.701389,688,1,2,0,0.364706,0,0,38.941176,12,2.7647,1
4,2.002,0,10,20,6,4,8,4,2,131,0,0,0.931034,0.416667,1,1,31.75,1,0.5,1
9,2.002,0,11,34,34,1,10,6,0.75,239,1,0,0.5,0.333333,0,0,25.444444,6,1.4444,1
35,1.001,0,47,35,595,47,35,35,2,35,0,0,0,0.081081,0,0,0,1,1,0
4,1.001,0,10,24,0,1,9,4,0.166667,178,1,1,0,0.5,0,0,43,2,1,1
6,2.002,0,6,9,13,4,4,5,0.8,28,1,0,0.9,0.4,0,0,3.5,1,0.5,1
45,1.001,0,27,112,730,3,24,35,0.836777,844,1,6,0,0.209877,0,0,17.511111,4,1.2667,1
8,2.002,0,8,35,12,0,8,5,0.5,262,1,0,0.588235,0.375,0,0,31.5,6,2,1
3,4.004,0,9,21,3,0,9,2,1.5,119,1,0,0.964286,0.666667,2,4,38.333333,2,1,0
4,1.001,0,0,12,6,0,0,4,2,50,0,0,0,0.5,0,0,11.5,2,1,1
19,1.001,0,11,46,0,1,10,19,0.7,227,0.2,2,0,0.192982,0,0,10.684211,4,1.3158,1
6,1.001,0,8,32,0,0,8,4,0.4,160,1,1,0,0.416667,0,0,25.333333,2,1.3333,1
29,1.001,40,65,43,330,57,11,29,0.917857,318,0.9,6,0,0.17931,0,0,9.62069,4,1.2414,1
94,1.001,0,5,126,413,1,4,10,0.802542,10760,0.272727,1,0,0.33871,0,0,113.117021,95,10.5426,0
5,2.002,0,10,22,10,4,8,5,2,153,0,0,0.9,0.4,1,1,29.6,1,0.6,1
6,4.004,0,4,51,15,0,4,3,1.2,304,1,0,0.915254,0.366667,2,4,49.166667,1,0.8333,0
5,2.002,0,17,33,0,4,15,5,0.25,292,1,0,0.9,0.466667,1,2,57,1,0.6,1
10,3.003,0,22,20,3,20,2,10,0,85,1,0,0.777778,0.38,1,4,7.4,1,0.6,1
4,2.002,0,33,25,0,21,13,4,0.666667,214,1,0,0.842105,0.5,1,1,52,1,0.75,1
1,4.004,0,26,2,0,25,1,1,2,5,0,0,1,1,0,0,4,0,0,1
6,2.002,0,7,33,0,0,7,5,0.4,279,1,0,0.666667,0.458333,1,1,45.166667,9,2.6667,1
5,1.001,0,4,5,10,2,2,5,2,5,0,0,0,0.5,0,0,0,1,1,1
4,2.002,0,8,12,6,4,6,4,2,42,0,0,0.931034,0.416667,1,1,9.5,1,0.5,1
2,2.002,0,10,17,1,6,5,2,2,87,0,0,0.941176,1,1,1,42.5,1,0.5,1
18,3.003,1,13,63,149,2,11,6,1.019608,417,0.444444,1,0.6,0.338235,1,2,21.666667,5,1.1111,1
18,1.001,0,3,37,133,2,3,18,0.882353,302,0,1,0,0.333333,0,0,15.666667,4,1.3889,1
5,2.002,0,9,27,0,4,7,5,0.3125,180,1,1,0.9,0.433333,1,1,34.2,2,0.8,1
3,4.004,0,8,22,3,0,8,2,1.5,124,1,0,0.964286,0.666667,3,4,38,2,1,0
4,1.001,0,1,7,0,1,0,4,0.333333,23,1,0,0,0.625,0,0,4.5,1,0.75,1
6,3.003,0,8,18,15,0,8,5,1,160,0,0,0.907407,0.5,0,0,25.5,2,1,0
11,1.001,3,12,15,29,9,4,11,0.775,68,1,1,0,0.246753,0,0,4.818182,1,0.9091,1
18,3.003,0,13,80,117,0,13,16,0.929412,534,1,0,0.685185,0.3,1,1,28.111111,4,1.1111,1
4,1.001,0,3,14,0,1,2,4,0.5,92,1,1,0,0.4,0,0,21.5,3,1.25,1
1,1.001,0,3,1,0,2,1,1,2,1,0,0,0,1,0,0,0,1,1,1
5,2.002,0,10,22,10,4,8,5,2,153,0,0,0.9,0.4,1,1,29.6,1,0.6,1
5,2.002,0,11,27,8,0,11,5,0.75,154,1,1,0.636364,0.44,0,0,29,1,0.8,1
5,2.002,0,10,22,10,4,8,5,2,140,0,0,0.9,0.4,2,2,27,1,0.6,1
7,2.002,0,15,31,9,4,13,5,0.666667,149,0.75,2,0.84375,0.326531,1,1,19.714286,1,0.7143,1
39,1.001,0,4,68,727,2,2,38,0.963158,537,0,0,0,0.160819,0,0,12.641026,3,1.1026,0
5,2.002,0,10,19,10,4,8,5,2,84,0,0,0.9,0.4,1,1,15.8,1,0.6,1
4,4.004,0,13,45,2,1,13,3,0.916667,359,1,4,0.947368,0.5,3,6,86.75,1,0.75,0
